date,data_source,cargo_value_type,ingested_at,origin,destination,commodity,vessel_type,cargo_tonnes,bdi,vlsfo_usd_per_tonne,coal_price_usd_per_mt,iron_ore_price_usd_per_dmt,wind_kmh,wave_height_m,cyclone_risk,weather_delay_days,current_freight_usd_per_tonne,next_month_freight_usd_per_tonne,_origin_region_raw,exclusion_reason
2024-12-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1910.0,650.0,129.8,102.2,27.78,1.8,2.0,1.0,12.4,9.3,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2025-01-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1380.0,595.0,118.6,99.6,26.854000000000003,1.6,2.0,0.5,9.3,8.8,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2025-02-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1310.0,588.0,106.9,105.1,27.4096,1.6,2.0,0.5,8.8,9.1,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2025-03-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1360.0,592.0,104.0,100.1,25.557600000000004,1.5,1.0,0.0,9.1,13.1,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2025-04-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1980.0,640.0,98.6,97.2,31.854400000000002,2.0,2.0,0.5,13.1,13.8,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2025-05-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,2150.0,658.0,104.4,97.0,41.4848,3.0,5.0,2.5,13.8,13.5,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2025-06-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,2080.0,652.0,109.0,92.3,50.93,3.7,3.0,3.0,13.5,10.7,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2025-07-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1540.0,620.0,112.9,97.3,57.412000000000006,4.3,2.0,4.0,10.7,10.0,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2025-08-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1460.0,608.0,112.2,99.7,53.708000000000006,4.0,2.0,3.5,10.0,10.3,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2025-09-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1500.0,614.0,106.3,103.3,44.818400000000004,3.1,3.0,2.0,10.3,12.2,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2025-10-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1850.0,635.0,107.5,103.5,34.817600000000006,2.4,5.0,4.0,12.2,12.9,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
2025-11-01,freight_forecasting_training_table_v1.csv,representative_vessel_capacity,2026-08-28T05:14:26Z,,East Coast India,Iron Ore,Capesize,170000.0,1970.0,646.0,112.6,102.5,31.1136,2.1,4.0,2.5,12.9,13.1,Australia West Coast,"route_origin_unmapped: 'Australia West Coast' has no port-level equivalent in the existing model's training categories (Hay Point, Taboneo). Mapping to Hay Point would be geographically incorrect; row excluded from the retraining-ready subset."
